Algorithm,Month,Service,Mode,Type,Region,Age,Cost
Static SaaS,1,frontend,SaaS,Standard,us-east-1,0,4603.346559651682
Static SaaS,1,checkout,SaaS,Standard,us-east-1,0,6010.982093034651
Static SaaS,1,recommendation,SaaS,Standard,us-east-1,0,7581.092911347589
Static SaaS,1,productcatalog,SaaS,Standard,us-east-1,0,3818.7551547668295
Static SaaS,1,cart,SaaS,Standard,us-east-1,0,3096.7021997030724
Static SaaS,1,payment,SaaS,Standard,us-east-1,0,7510.506147806967
Static SaaS,1,shipping,SaaS,Standard,us-east-1,0,3049.8136611851087
Static SaaS,1,email,SaaS,Standard,us-east-1,0,1511.316929276817
Static SaaS,1,currency,SaaS,Standard,us-east-1,0,1614.9284272791976
Static SaaS,1,ad,SaaS,Standard,us-east-1,0,1614.4813579761083
Static SaaS,2,frontend,SaaS,Standard,us-east-1,0,142.71226102281784
Static SaaS,2,checkout,SaaS,Standard,us-east-1,0,13.523166009612707
Static SaaS,2,recommendation,SaaS,Standard,us-east-1,0,111.83321816535138
Static SaaS,2,productcatalog,SaaS,Standard,us-east-1,0,1186.5371839984887
Static SaaS,2,cart,SaaS,Standard,us-east-1,0,122.80526480071967
Static SaaS,2,payment,SaaS,Standard,us-east-1,0,13.084503785338702
Static SaaS,2,shipping,SaaS,Standard,us-east-1,0,73.29185251887253
Static SaaS,2,email,SaaS,Standard,us-east-1,0,13.157318972119256
Static SaaS,2,currency,SaaS,Standard,us-east-1,0,160.41113603399444
Static SaaS,2,ad,SaaS,Standard,us-east-1,0,138.35768996663475
Static SaaS,3,frontend,SaaS,Standard,us-east-1,0,220.41399705207482
Static SaaS,3,checkout,SaaS,Standard,us-east-1,0,20.629295068187275
Static SaaS,3,recommendation,SaaS,Standard,us-east-1,0,179.3600314517945
Static SaaS,3,productcatalog,SaaS,Standard,us-east-1,0,1997.0919171657342
Static SaaS,3,cart,SaaS,Standard,us-east-1,0,197.54774403203268
Static SaaS,3,payment,SaaS,Standard,us-east-1,0,19.279814719641692
Static SaaS,3,shipping,SaaS,Standard,us-east-1,0,116.1216149124333
Static SaaS,3,email,SaaS,Standard,us-east-1,0,19.91462845905735
Static SaaS,3,currency,SaaS,Standard,us-east-1,0,219.0219657755878
Static SaaS,3,ad,SaaS,Standard,us-east-1,0,212.08978318875262
Static SaaS,4,frontend,SaaS,Standard,us-east-1,0,289.607699256648
Static SaaS,4,checkout,SaaS,Standard,us-east-1,0,30.80952621491038
Static SaaS,4,recommendation,SaaS,Standard,us-east-1,0,233.9598731139751
Static SaaS,4,productcatalog,SaaS,Standard,us-east-1,0,2358.0731134116922
Static SaaS,4,cart,SaaS,Standard,us-east-1,0,269.3508940519832
Static SaaS,4,payment,SaaS,Standard,us-east-1,0,29.747844271518943
Static SaaS,4,shipping,SaaS,Standard,us-east-1,0,150.09492323763627
Static SaaS,4,email,SaaS,Standard,us-east-1,0,30.76214605986368
Static SaaS,4,currency,SaaS,Standard,us-east-1,0,317.3984113346055
Static SaaS,4,ad,SaaS,Standard,us-east-1,0,284.5914259674512
Static SaaS,5,frontend,SaaS,Standard,us-east-1,0,403.61594186468255
Static SaaS,5,checkout,SaaS,Standard,us-east-1,0,41.66352275359117
Static SaaS,5,recommendation,SaaS,Standard,us-east-1,0,307.0261911059971
Static SaaS,5,productcatalog,SaaS,Standard,us-east-1,0,3531.2281433461585
Static SaaS,5,cart,SaaS,Standard,us-east-1,0,366.7419836792442
Static SaaS,5,payment,SaaS,Standard,us-east-1,0,44.97873996644389
Static SaaS,5,shipping,SaaS,Standard,us-east-1,0,195.7987762735816
Static SaaS,5,email,SaaS,Standard,us-east-1,0,44.06188497281968
Static SaaS,5,currency,SaaS,Standard,us-east-1,0,440.08580605251973
Static SaaS,5,ad,SaaS,Standard,us-east-1,0,406.58305930404805
Static SaaS,6,frontend,SaaS,Standard,us-east-1,0,381.5439055496986
Static SaaS,6,checkout,SaaS,Standard,us-east-1,0,37.586582470396706
Static SaaS,6,recommendation,SaaS,Standard,us-east-1,0,339.2925765611337
Static SaaS,6,productcatalog,SaaS,Standard,us-east-1,0,3320.9743824376
Static SaaS,6,cart,SaaS,Standard,us-east-1,0,338.8780534887477
Static SaaS,6,payment,SaaS,Standard,us-east-1,0,34.50828275267115
Static SaaS,6,shipping,SaaS,Standard,us-east-1,0,195.28142001640973
Static SaaS,6,email,SaaS,Standard,us-east-1,0,36.959842104588056
Static SaaS,6,currency,SaaS,Standard,us-east-1,0,430.384671706505
Static SaaS,6,ad,SaaS,Standard,us-east-1,0,372.39738168350436
Static SaaS,7,frontend,SaaS,Standard,us-east-1,0,291.9213740548995
Static SaaS,7,checkout,SaaS,Standard,us-east-1,0,30.295223906575078
Static SaaS,7,recommendation,SaaS,Standard,us-east-1,0,222.1942891399648
Static SaaS,7,productcatalog,SaaS,Standard,us-east-1,0,2349.03970383739
Static SaaS,7,cart,SaaS,Standard,us-east-1,0,262.6492360267814
Static SaaS,7,payment,SaaS,Standard,us-east-1,0,32.95169327078694
Static SaaS,7,shipping,SaaS,Standard,us-east-1,0,141.84382591237087
Static SaaS,7,email,SaaS,Standard,us-east-1,0,33.50859338955271
Static SaaS,7,currency,SaaS,Standard,us-east-1,0,361.6798249834084
Static SaaS,7,ad,SaaS,Standard,us-east-1,0,300.0772107003346
Static SaaS,8,frontend,SaaS,Standard,us-east-1,0,399.5584253013057
Static SaaS,8,checkout,SaaS,Standard,us-east-1,0,43.46820430870383
Static SaaS,8,recommendation,SaaS,Standard,us-east-1,0,295.3163032063201
Static SaaS,8,productcatalog,SaaS,Standard,us-east-1,0,3177.8830515948093
Static SaaS,8,cart,SaaS,Standard,us-east-1,0,328.994847021811
Static SaaS,8,payment,SaaS,Standard,us-east-1,0,40.06433089965147
Static SaaS,8,shipping,SaaS,Standard,us-east-1,0,194.71314527761837
Static SaaS,8,email,SaaS,Standard,us-east-1,0,44.06020868054519
Static SaaS,8,currency,SaaS,Standard,us-east-1,0,470.4625718969678
Static SaaS,8,ad,SaaS,Standard,us-east-1,0,420.0320043535562
Static SaaS,9,frontend,SaaS,Standard,us-east-1,0,191.44145898153664
Static SaaS,9,checkout,SaaS,Standard,us-east-1,0,19.438052454892976
Static SaaS,9,recommendation,SaaS,Standard,us-east-1,0,161.83467736946955
Static SaaS,9,productcatalog,SaaS,Standard,us-east-1,0,1742.6747345355539
Static SaaS,9,cart,SaaS,Standard,us-east-1,0,170.46396545943247
Static SaaS,9,payment,SaaS,Standard,us-east-1,0,20.476556089441345
Static SaaS,9,shipping,SaaS,Standard,us-east-1,0,104.12228166760679
Static SaaS,9,email,SaaS,Standard,us-east-1,0,18.95406847306389
Static SaaS,9,currency,SaaS,Standard,us-east-1,0,225.09594279398135
Static SaaS,9,ad,SaaS,Standard,us-east-1,0,182.5789230345358
Static SaaS,10,frontend,SaaS,Standard,us-east-1,0,276.4749580378924
Static SaaS,10,checkout,SaaS,Standard,us-east-1,0,28.380053433804928
Static SaaS,10,recommendation,SaaS,Standard,us-east-1,0,227.02118264006768
Static SaaS,10,productcatalog,SaaS,Standard,us-east-1,0,2414.423119466539
Static SaaS,10,cart,SaaS,Standard,us-east-1,0,258.2524708322169
Static SaaS,10,payment,SaaS,Standard,us-east-1,0,24.467523330449485
Static SaaS,10,shipping,SaaS,Standard,us-east-1,0,133.80047455134567
Static SaaS,10,email,SaaS,Standard,us-east-1,0,27.77334174025802
Static SaaS,10,currency,SaaS,Standard,us-east-1,0,286.884198033397
Static SaaS,10,ad,SaaS,Standard,us-east-1,0,302.226722263913
Static SaaS,11,frontend,SaaS,Standard,us-east-1,0,366.91675933372665
Static SaaS,11,checkout,SaaS,Standard,us-east-1,0,38.41640534965161
Static SaaS,11,recommendation,SaaS,Standard,us-east-1,0,299.30810134862844
Static SaaS,11,productcatalog,SaaS,Standard,us-east-1,0,3122.6888001610187
Static SaaS,11,cart,SaaS,Standard,us-east-1,0,356.71290347970483
Static SaaS,11,payment,SaaS,Standard,us-east-1,0,41.7750038563436
