frontend,checkout,recommendation,productcatalog,cart,payment,shipping,email,currency,ad
214253.1927918561,20998.69254599952,171721.69693149146,1890335.143159728,187476.94236234354,20292.251255521507,98755.64056166238,21496.749352130104,235835.20826150532,222673.32491638168
338228.6600099176,34306.27238788698,274252.2634163953,2795369.970292027,300556.0624384111,34397.19624529831,169664.7160370854,34682.32551521371,358060.22396175866,328737.9300377016
621643.146352138,64912.53191911117,495027.3200266047,5663298.570353508,519458.8007209684,66572.95605973846,316980.49264704314,66438.32688285963,658309.206976474,606798.8868537219
729270.2991268885,77995.55826994842,588113.4047584239,6332412.1881719455,694514.3497891619,79451.68080544788,353759.1701560343,76435.73924864575,790431.3902481651,738180.01079348
510642.11126393144,48285.34597357025,406605.34248374804,4365962.782568603,434229.6402909759,49364.006101837615,235653.44945200777,50016.69905819916,557814.619434116,486550.5019219353
1223829.2551541105,112045.31940521314,966887.5432662489,11474497.025922403,1097497.0298224133,108506.27955927739,583444.1834402108,107417.18231175619,1337674.625701725,1263033.404850268
1076366.5727419462,112702.23218057049,875995.3588997145,9507846.882386979,966183.8405458706,131181.66849672116,517793.0295411836,121990.17990872751,1185767.448165958,1045445.577363272
738341.9717135059,72805.041183288,611859.2543804151,6704327.692214712,618233.0831997115,70691.36155844813,369447.25531831116,77089.36338921102,865342.2257133677,762501.6385763272
1040117.4705076058,100939.75770892345,816550.527425408,8580388.984408097,982462.5798901874,103680.0183736223,551064.1296753187,95858.22301481217,1108941.2799996347,970526.7165082194
581796.7320656292,58851.247564186415,431569.41924262315,4612471.413849721,494108.71674416156,60024.239137675904,285295.4332230672,55788.45246571695,610040.3147591428,609972.8766133222
431585.38975519565,45104.117330438145,334814.01623755065,3427094.7123982683,391527.6207400365,42912.66419710446,219402.47475152413,45376.8807287359,470783.79274186475,442042.6461819765
545608.8762780877,51302.49546981385,448311.92466530704,4866296.127929284,480836.3033942205,51444.36135067587,282055.6445092503,50727.96109984475,515075.83081934525,532232.4155511702
184606.94595765058,19440.919441497972,155415.21083624536,1557502.5322238368,158508.61149545174,17054.900838950092,92770.13690936918,20928.437550799506,207285.43472868882,181670.1722504587
137941.91810127534,13252.148906608129,102584.49536254645,1080359.7475672753,117106.25963049755,13235.465580465572,64208.45120507274,12387.055810755439,148950.6874843543,138800.41295132498
94728.7425135786,9745.905489865963,78965.6065772831,781340.1655512356,87006.47985422464,9949.035549993981,43719.48761976857,9639.74080708749,112873.25596828491,95869.57011490881
133552.16794863157,13820.61314509873,107783.08274823702,1168283.2951102913,120610.37002846923,14624.734899571602,67467.16537083802,14655.286632383031,150619.54479254066,138785.64364833472
159348.51259500347,17046.53723750173,126459.17804827052,1393112.020848793,151653.4099891872,17952.55605350851,79685.61345995362,17181.721529484686,179657.7760126251,159564.14464199988
332856.90044023463,33228.94595171672,260642.06083093883,2773886.530752786,283752.1467664463,34082.563203936894,163773.05857452087,31956.1789440858,363630.05516533664,355940.7209453156
1262803.1925811667,132967.1490097384,1049746.0120180526,11310268.058441952,1124800.3392657829,123861.40122201064,653031.5744937473,127740.01994122115,1507151.1632585751,1228676.9282302805
1237046.3201773816,124617.79709508257,944810.9586651109,10520450.259181825,1034233.7228745294,123140.42597655348,557792.8665097153,126754.08071404115,1433267.627970483,1367526.286105131
1350713.2685766667,126049.16357086276,1087154.41412555,11612139.283072677,1175004.9765290087,118754.53950993622,648288.8785925808,126599.39108972183,1444832.7594964202,1321157.9925557792
1195343.6714738202,121757.96362811077,947371.8122417659,10240953.70655486,1016541.0140491759,128904.89681255123,597899.1333636075,120410.59883137648,1333184.7451022195,1111664.3902421838
