frontend,checkout,recommendation,productcatalog,cart,payment,shipping,email,currency,ad
147637.94235954506,14830.74711562406,113358.4701486239,1231873.6903161057,130848.38146468684,13530.962230282794,69799.45357545605,14170.272727366744,168809.9695093143,146775.93375126013
203978.7913975077,21745.88863459772,165251.77004049518,1754960.262627335,182261.89355769637,21603.547091662782,95760.19371436167,18718.89727433557,232053.61310339934,223374.6736310904
315198.8795633247,32771.43003367282,260343.52934470816,2606014.7972659003,285898.58924288204,35313.06053698778,162545.66946440286,30500.414087511,336076.64713305555,318951.7470932155
414359.5622834121,44253.00452757997,337436.8673859372,3323494.9476224477,378625.06695064955,47002.55115021121,195084.7138665892,45903.2830766064,479433.7523887221,455726.16063330753
577773.1305943044,60007.43079115958,437247.80929985235,4925689.179801442,498175.2886826792,62425.2335489383,299810.8990361651,60933.521024057154,635415.2760743073,549079.082500071
546456.1498041572,55449.49740513262,456889.7520030014,4880962.805900486,543293.868481802,55347.71496161918,276634.6684771563,52855.37388915882,601892.8059199715,551833.2647932038
418310.2042818915,38920.58731460738,337355.15230158716,3511992.2486878266,362734.72442938236,40939.031314897045,204973.68689839408,40752.27731138954,478143.64021393546,394536.7026744632
572841.6996116943,57706.601964938425,477361.1170448304,5252712.35250568,485494.25467892416,59847.44793878073,315864.92795514374,57682.62061269037,578850.8774935043,572852.1963517028
274607.31040219596,26459.147096136323,230403.43860678357,2364287.2356112497,260304.83975811236,27913.80520964985,133037.5336271606,25208.655631852966,311291.33531239734,288694.44782811584
396783.5578989448,38249.71725030202,311264.97701226186,3239975.1212821193,361232.331153901,36288.46454741445,199657.83291958584,39447.45452016245,411866.3053216713,393676.7842177797
526850.2409790263,51933.58611724319,437987.80278850946,4394399.424268099,482261.8722498559,54873.46767089799,247426.846884806,55411.57561386684,562453.769388807,526018.3670001313
447338.74308577075,49409.77008545125,345185.2955118526,3748145.657724584,395404.58570373233,47141.3141573836,220279.19656374294,48528.42480062075,519394.5892544932,461873.3566646937
518424.4176651775,54445.07788569161,426908.9728272681,4665758.9858169835,436320.1262858911,50930.67017448244,269590.45688626077,56455.44418018871,603958.3955202058,574280.668290411
411268.1453024443,43248.78513951898,302342.16771936294,3325865.233686378,369351.0502378047,43229.590660222624,198306.67093779083,43882.01374569191,437713.4734008057,398719.1439130138
304280.6714775462,28783.250171339052,251670.9707582682,2630030.558331955,273101.55168132304,28679.471054295613,149154.81869846545,29252.080259197868,321556.55807385955,292789.1263954253
479130.5659827056,47912.20623473319,383804.7701286547,4303305.660886879,432244.7431829617,51008.640386817635,248511.6826203865,44891.5540308547,491243.0864319619,470831.5812998195
555734.61522548,54962.48258401854,407280.4792637465,4838652.319945558,504161.184684798,54373.67503745395,275917.47594296455,51183.93155792167,590753.8830150897,559820.0085349629
1317898.628793366,133719.23438662864,1071924.610718725,11145085.18970515,1262469.0289263215,135892.14336441387,650752.6934014349,126207.809695701,1560972.5856907512,1286305.4331318694
4016558.462606427,418412.01483390224,3127698.810270106,31591556.638078436,3447395.7674423093,397086.09724636155,1999497.4421197702,424966.22014498734,4457858.551407176,4128774.962011151
5673629.216013626,563379.1309028446,5019511.370658748,54989165.57725585,4724351.2578629125,528355.2207996057,2628329.7459115214,561448.7579889368,5927715.113660191,5964348.8928158805
6881902.678264829,692289.9880057223,5559895.776473486,59771847.47330089,6063468.947659234,679597.5019938174,3453371.9415791873,685758.8048750367,7508967.07898044,6563313.8511928115
14561547.709764175,1504623.9445136003,12990640.525386805,127880541.10431692,12166728.960920125,1548960.4256767922,7658085.372928856,1602050.0908347743,15068922.88662058,15917856.961238598
7908593.583030981,806976.5362096292,6557496.962818532,70387052.96923226,6265954.311316183,912677.051454887,4252620.781351084,868979.9000356602,8727317.887430683,7460248.626609384
5345751.8424972845,556167.8184180456,4092046.6043236284,45469902.4101201,5146127.417021364,526563.7493899042,2781792.8968918747,503483.9328219656,6123424.790572409,5508925.012448666
5443193.391368918,469843.81322147074,4421099.170040891,42877538.84635042,4827893.29581973,512751.3647073721,2660658.7491363306,419337.6898241438,5520318.428647778,5548255.273557146
6838559.063456272,650170.7764240096,5537366.62977136,56631276.25608227,5983965.833016401,640827.9376119901,3385419.736716051,634997.0990195002,7778468.314387284,7551143.253909288
7856481.820029211,779548.5764487152,6556757.282229808,69825381.65284795,7014132.548667856,835335.9606395687,3835453.672036537,796710.5837433445,9227845.213696215,7708576.213679355
9089679.45739248,862918.3564848372,6704208.905508384,71028347.47194937,8790237.837780582,798764.7600707766,4642374.066755144,887980.2748381693,10366944.467515234,9194363.63392462
13493687.858409593,1276001.183528945,10658989.533219296,123682285.19320393,12688186.172086533,1292884.7441088422,6943756.23295352,1258729.6704559312,14415683.091463553,13953289.136430278
14930496.708957227,1301359.4930659237,11599132.462401176,117869307.64791329,13757961.919859273,1311814.9456256307,7195782.216733818,1162372.006754996,16899098.778360043,15703243.285070783
20716297.00788648,2140100.086764683,16769424.481077744,167470153.98154494,19036462.118606005,2091679.6448573912,9656711.145703465,2342568.188713997,21861314.851031557,20684020.51841049
25400762.800922103,2497794.0686813104,20524609.323470056,203707791.561977,21811438.70306789,2463307.195433913,12861076.420208469,2410638.6921391673,26479089.205094304,27864550.824990515
22374850.7992823,2133598.393288251,18193299.725380428,201012741.55830398,19901858.492744632,2133495.569207292,11648784.104078267,2171805.932338375,27075160.549912192,21250305.434332326
17784187.424292002,1931002.6392749974,14707156.778646905,158619050.91986394,15427449.457417978,1943585.2714295427,8677158.276817642,1933020.0510828982,18610531.037314147,17124581.06742988
13104388.239566723,1279725.0021698952,10392274.41196368,107979391.54220413,12663737.83412151,1157591.4029395008,6559581.924690682,1258472.7267492297,13821493.134870058,13226995.858683787
17096056.332937695,1783126.9701715845,14210337.567003435,145466438.46665183,14741581.467667282,1670196.59459612,8769018.125556171,1882950.7511434543,18789417.83420387,16469618.236652039
