frontend,checkout,recommendation,productcatalog,cart,payment,shipping,email,currency,ad
464527.4834073707,45477.376047540456,349379.60217753693,3856600.4921909887,423780.6201107604,49236.31932579619,219902.1948583469,40360.43547643761,534543.6484521225,478861.7481199669
432868.4968736901,41860.68984916742,361023.6073265533,3822175.455853396,400518.5051950052,41693.39261713037,215985.182628531,44476.69440201274,480939.8526554802,456844.48711552937
400828.7625442576,41024.16689668221,336321.72631491435,3403590.4307150776,364245.2953881852,42907.24910816984,202643.01099694383,39114.52705483994,403798.89595956384,403075.69708696305
416884.07851467596,39448.500579123815,332916.01013549144,3559620.78454512,379157.7918361466,36536.64570850395,211959.08864634435,38563.98635411067,458422.8826857637,435470.81265252625
399380.71711466095,39560.913636894154,311265.1672127372,3248651.9351144424,354213.4868091486,39974.37369460353,208325.7090201857,41586.751862225836,425089.08482105186,381552.45540233515
433883.5865830644,42345.13137602439,329765.4901070251,3776944.2267985335,396947.11816755775,42035.8761377912,225155.6210507576,44492.42473944016,500962.52744184964,406455.141822591
441675.2483604796,40339.833196818654,353924.013668759,3930764.086596381,382110.94798530743,42642.903753643375,209129.9709016322,44173.90951539549,468211.9994709981,455818.325479883
458571.0876334904,46665.456594095325,363868.19078017224,3930922.1192362797,387865.82165521133,50492.49043681733,219420.6481124265,48177.84417401231,504293.13356819807,449856.869388182
428180.5527972245,45082.132074259294,370150.3702347292,4074667.9043465722,377195.51296365465,48861.59488849674,207489.39548884128,46285.89160167462,501275.6293405612,422899.39420572924
429456.2985684883,42302.891719813335,356735.33755603706,3610098.8693142207,355422.8522380423,43281.71498689315,207863.336499275,44017.693926972446,489553.5199250486,426910.3094121931
484130.8014871766,44832.1517445528,356411.2763105553,4007492.5938671743,438051.0043412986,46112.532740541086,243056.30717455564,46460.65812560454,536768.3396265493,471013.2281307287
483244.9206737905,49430.41924777455,368541.9512542816,4067359.542518354,420542.25514125207,48458.120487708664,248860.85114384562,46213.93929949709,570420.9921088641,461404.6827122291
571547.8280514594,51478.84032016216,469195.02410356276,4874654.617629528,501825.79856341134,51647.0751334049,273095.002266141,45379.624728123505,661187.7668815767,565671.792193816
549034.4222367451,53165.150624488124,409970.07542375004,4391588.059092184,488065.68715520535,52796.60404816485,262896.8473283248,53067.13840850473,583386.5876738599,556984.8281601327
581685.4185206984,57978.29685489917,496209.9303461828,5285875.910339125,544311.4765785671,56681.643829945984,278833.2913694498,59954.338398877,637959.5833279265,578445.9328585566
572049.7251910883,55649.64404062114,434571.02768440446,4730695.2215333,484374.4221944247,57177.87773702957,293503.18430088955,54088.49877983999,632526.0350059721,537075.4514558556
507115.8981034748,46599.62859605982,367992.03186931286,3944226.283754236,461861.99787821097,46249.98761785719,228328.38225931057,46616.35962015412,587920.7636807404,514393.6703246969
527165.5495198226,53827.168294796575,439158.99939129094,4523336.88665469,482113.98782863375,58203.100298242105,264960.57601682167,53616.49817541583,577737.9032197903,538711.9159200893
624905.3963496417,62751.59224821357,507451.75233302446,5184304.220549553,554432.2913497268,61835.084854240326,321334.70742938307,57581.52401612962,638831.2869190768,643766.6931628096
608844.0255891742,60281.600520010164,517225.3178478233,5040780.66261269,568341.6992714114,60443.25321872372,311217.2714607066,62882.13685679489,688316.5023675656,627937.4561564594
516962.20786530344,54840.01582824023,418413.15862501954,4571750.090142505,447423.42733035143,55503.95820508558,267616.5474584094,57911.400683402,569365.2475132914,570255.6092814337
509883.69128286006,50060.30942762846,383607.6759171938,4022393.5558255273,458938.5339692879,54666.65180043667,262324.6525415241,49740.13641096704,594815.8798619622,482547.6243431572
500950.50104440184,51413.84882015416,388584.48289031215,4006692.758609944,471859.176370114,51141.26083778493,251544.4785661117,55253.996534994854,492714.88560324267,493702.3445807915
551659.8124567677,49582.95691181875,436863.96885735745,4936038.101950399,460863.8984080712,49132.68743068117,265300.46736011724,46990.841569025506,652875.3696217538,582574.4111302008
500358.71267737454,51306.08614199757,406996.0957405599,4279482.113399106,429709.8143375106,46988.38088894753,234123.40330337023,54383.84509650404,535061.9363158873,498121.9132690278
488848.20917125314,46683.17374476835,387231.2577329511,4014928.274944963,416506.5829380004,46627.63812195597,234226.06640795228,48751.03688964437,482553.43612655567,456406.0022722658
492833.42379781255,51167.770235737735,397378.1025323023,3882421.527648318,434754.57165980805,52917.05882670599,248087.31270778363,55719.57961662225,541711.0309204217,504126.96731387015
491003.332592087,46459.61162152992,420844.2315567285,4392447.561602835,430581.75559554755,46233.97193369255,245838.63718748855,44847.58412476969,558626.9831613185,524007.0028195959
502132.6839834698,52473.654293136395,436666.9651427229,4448122.293360861,448248.0541216826,53298.969790191506,259951.71522048395,51366.18625391673,550418.9163645814,467286.6701672131
464101.2614769649,46175.41194989812,346344.7558252529,3796148.0546708154,402560.2583054221,46753.85810610591,228787.85267298832,46262.55971862791,537138.6845231656,446950.8921133357
438168.2233238426,45905.52336591767,365774.9174121897,3620815.890938555,380588.2814133627,43456.328204051264,221531.58697218823,47890.19274466748,472763.16750557756,423393.80837260815
438109.1795084024,46923.150324209084,338875.58772003395,3795819.5299887983,375855.19359655364,46563.20744144106,233242.99662309527,48950.860008500546,514501.07139229623,401127.7746396312
552390.0984875764,56340.01483154978,482027.3570809293,4819343.589571971,491298.72211195866,60100.20164900361,278571.7336613886,57967.23154841353,602199.86130136,547733.3634240521
557867.46523027,52951.61313586016,441311.6316629586,4521340.589165974,486552.3493407997,52479.15378672784,275514.63217561535,51746.76645916373,620146.9666146594,587260.0766276642
503709.6387070604,51490.429759228406,379885.28776515933,4111532.6135402443,471162.9369534813,51448.32651847619,240317.64011530427,50545.64060093442,602122.0700680279,502544.85551244515
483854.98344877316,46244.61541864309,396212.19624863414,4005810.5847843327,445407.5619792281,42850.86680680254,231273.64252384266,43038.4594673131,542854.8193563197,512885.6863861945
